name,geoid,B17001001,"B17001001, Error",B17001002,"B17001002, Error",B17001003,"B17001003, Error",B17001004,"B17001004, Error",B17001005,"B17001005, Error",B17001006,"B17001006, Error",B17001007,"B17001007, Error",B17001008,"B17001008, Error",B17001009,"B17001009, Error",B17001010,"B17001010, Error",B17001011,"B17001011, Error",B17001012,"B17001012, Error",B17001013,"B17001013, Error",B17001014,"B17001014, Error",B17001015,"B17001015, Error",B17001016,"B17001016, Error",B17001017,"B17001017, Error",B17001018,"B17001018, Error",B17001019,"B17001019, Error",B17001020,"B17001020, Error",B17001021,"B17001021, Error",B17001022,"B17001022, Error",B17001023,"B17001023, Error",B17001024,"B17001024, Error",B17001025,"B17001025, Error",B17001026,"B17001026, Error",B17001027,"B17001027, Error",B17001028,"B17001028, Error",B17001029,"B17001029, Error",B17001030,"B17001030, Error",B17001031,"B17001031, Error",B17001032,"B17001032, Error",B17001033,"B17001033, Error",B17001034,"B17001034, Error",B17001035,"B17001035, Error",B17001036,"B17001036, Error",B17001037,"B17001037, Error",B17001038,"B17001038, Error",B17001039,"B17001039, Error",B17001040,"B17001040, Error",B17001041,"B17001041, Error",B17001042,"B17001042, Error",B17001043,"B17001043, Error",B17001044,"B17001044, Error",B17001045,"B17001045, Error",B17001046,"B17001046, Error",B17001047,"B17001047, Error",B17001048,"B17001048, Error",B17001049,"B17001049, Error",B17001050,"B17001050, Error",B17001051,"B17001051, Error",B17001052,"B17001052, Error",B17001053,"B17001053, Error",B17001054,"B17001054, Error",B17001055,"B17001055, Error",B17001056,"B17001056, Error",B17001057,"B17001057, Error",B17001058,"B17001058, Error",B17001059,"B17001059, Error"
Mississippi,04000US28,"2,883,074",1037,"564,439",10503,241674,5753,27060,1420,4684,531,34489,1528,16260,1249,4976,568,9071,825,31664,1701,25840,1480,22996,1311,19859,1096,24409,1134,12458,906,7908,684,322765,6046,26106,1513,"5,288",773,"33,342",1528,15281,1018,4991,616,9791,705,39216,1760,46967,1861,38986,1633,30508,1304,33780,1337,20399,1088,18110,869,2318635,10286,1139030,5807,66017,1512,13015,948,86165,2196,45263,1718,14714,770,31953,1092,99259,1834,152710,1809,146467,1371,150427,1634,152309,1231,115815,979,64916,848,1179605,6081,62397,1507,12544,941,83147,2072,42551,1528,14342,956,30459,979,86624,1875,148044,1891,151772,1755,159715,1394,167178,1458,130195,1296,90637,951
Missouri,04000US29,"5,942,813",1800,"772,992",11899,343547,6438,34751,1702,6567,619,40585,1791,17577,1078,6263,493,11682,833,50192,1903,40707,2045,30819,1446,32827,1347,40544,1481,18760,1214,12273,752,429445,6620,35104,1512,"5,858",606,"38,733",1629,18115,1170,6121,570,12571,831,62751,1946,63021,1776,45399,1981,40094,1515,46563,1663,28104,1118,27011,989,5169821,12284,2556947,6982,151227,1736,30111,1472,190874,2710,98924,2252,32473,1161,68281,1476,205936,2390,355448,2235,330194,1643,330009,1542,351875,1573,253842,1259,157753,969,2612874,6880,141759,1758,28951,1171,178831,2242,97065,2212,31795,1185,63693,1480,183764,2529,343120,1821,326946,2093,340887,1547,377522,1900,285780,1312,212761,1287
Montana,04000US30,"1,036,490",671,"132,476",3658,62992,2252,5966,646,868,174,5999,567,2674,465,629,171,1851,307,11860,910,7840,666,5991,526,5264,539,6972,558,4541,495,2537,323,69484,2054,4237,460,725,147,"5,652",529,2685,345,1011,221,1518,265,12561,820,10171,639,7033,598,5553,521,8273,555,5420,488,4645,407,904014,3725,457234,2412,25313,725,4926,463,33287,930,16417,813,5474,375,11386,452,35172,975,60393,748,58009,747,54519,730,66192,676,54474,510,31672,402,446780,2249,24504,633,4673,464,31698,939,15824,726,5034,399,10759,433,29670,776,55976,847,54991,694,54215,562,69281,607,54320,520,35835,496
Nebraska,04000US31,"1,869,467",825,"193,820",4792,86238,2840,9381,776,1660,356,9746,793,4103,503,1436,252,2893,362,15688,1037,10728,721,7278,704,7493,598,8118,693,4424,369,3290,295,107582,2532,8634,711,"1,715",335,"9,581",716,3744,470,1202,204,2733,296,20805,1039,15176,818,10358,673,8668,590,9966,587,6114,474,8886,533,1675647,4953,844030,3019,56585,834,11458,599,70408,1534,35622,1189,12035,548,23488,695,68638,1039,117007,1024,112022,845,102572,757,109945,803,76858,472,47392,428,831617,2602,53732,769,11650,717,66924,1512,33623,1092,11130,615,22087,636,60445,1078,108678,863,107325,776,99855,708,112133,692,82717,549,61318,582
Nevada,04000US32,"2,987,817",1191,"381,695",8350,173998,4311,18353,1098,3267,515,21440,1404,9693,828,2606,416,6391,705,17961,1319,21526,1138,17376,1119,16465,1108,20207,1141,12180,842,6533,629,207697,4798,16458,1088,"3,333",443,"19,338",1177,8798,832,3133,365,6195,682,22750,1280,32703,1649,26493,1131,21731,1075,21875,1008,14789,891,10101,740,2606122,8271,1317272,4386,73666,1268,14653,1006,96808,1894,49177,1574,15836,713,33257,1009,105762,1366,198993,1264,181430,1194,179990,1291,162806,1183,128496,897,76398,702,1288850,4885,71637,1162,13937,989,92720,1784,48322,1640,16297,949,30256,1006,95774,1306,183333,1746,171854,1200,171919,1124,167578,1035,137685,951,87538,737
New Hampshire,04000US33,"1,312,770",746,"97,418",3403,42476,2104,3126,475,898,270,3344,457,1864,365,496,153,1334,291,6717,728,4720,524,3588,512,4494,602,6408,637,3331,453,2156,392,54942,1914,2938,402,396,154,"4,657",611,1340,306,862,189,1254,343,7648,631,8886,715,5914,561,5221,562,6891,645,4369,516,4566,537,1215352,3373,608379,2173,28657,528,6272,585,40328,1160,20386,1009,7418,464,15378,573,46741,819,80803,587,72613,596,88684,668,97112,668,67046,576,36941,484,606973,1970,27583,544,5763,529,36348,995,20549,903,7003,525,14207,520,42052,787,72242,738,71801,613,90541,619,100365,709,71211,599,47308,704
New Jersey,04000US34,"8,713,792",1637,"842,704",14941,367044,7729,37991,2098,7993,821,44474,1843,21059,1297,7120,644,12936,1061,41296,2141,40887,1929,36395,1752,38525,1630,38048,1680,22797,1289,17523,1056,475660,8567,35631,1776,"6,345",617,"42,741",2037,21269,1299,7352,726,12641,867,47513,2036,64531,2024,59708,2068,49545,1955,50199,1676,36561,1236,41624,1691,7871088,15009,3874885,7893,224125,2164,45608,1841,282732,3745,148511,2849,50381,1415,101966,1461,314904,2109,527284,2168,516669,1971,555018,1911,539389,1859,347002,1469,221296,1263,3996203,8834,213893,1794,43281,1512,272948,2964,142402,2528,48273,1491,98674,1729,294180,2145,497108,2058,512096,2102,581052,1969,574507,1795,399852,1291,317937,1822
New Mexico,04000US35,"2,053,909",876,"381,026",7765,174937,4117,18319,1144,3623,692,21034,1212,10233,969,2477,398,7087,727,20510,1137,20458,1212,17790,1099,15587,911,19978,1362,11331,768,6510,490,206089,4648,17758,1127,"3,134",576,"18,807",1169,9635,928,2710,383,6556,531,25619,1306,29703,1333,24692,1479,18750,1087,21814,1060,15260,893,11651,828,1672883,7674,833299,4131,43211,1199,8632,726,61665,1671,33284,1412,10374,716,22092,975,75043,1275,119268,1375,105047,1265,99765,1037,108538,1393,90171,869,56209,569,839584,4672,41526,1184,8150,812,62531,1757,30789,1230,9547,760,21710,928,65025,1317,106569,1428,101062,1610,103593,1080,120476,1018,99059,943,69547,948
New York,04000US36,"19,009,098",2667,"2,581,048",26021,1131023,12347,111679,3548,22617,1329,125833,3089,59663,1870,20440,1048,39725,1575,138607,3231,139228,3256,110701,2939,113014,2509,123801,2761,73266,2066,52449,1920,1450025,15751,108525,2938,"19,661",1080,"121,361",3311,58704,2180,19373,1105,38622,1608,165227,3638,209728,3793,173470,3693,145434,3172,155793,2921,112740,2984,121387,2777,16428050,26096,8067481,12666,459876,3484,86279,2693,539983,4660,286731,4086,94646,2005,193496,2352,646904,3438,1263959,3469,1064604,3108,1107042,2654,1099248,2926,748388,2076,476325,2064,8360569,15901,438055,3172,83088,2587,516996,4569,271877,3589,91604,1854,185779,2155,612212,3993,1215914,3820,1056201,3588,1161856,3148,1185223,3171,861080,2965,680684,2789
North Carolina,04000US37,"10,098,330",2221,"1,411,939",17543,613309,9025,63163,2246,12012,986,81367,2644,34952,1660,11850,882,22470,1326,80984,2787,69213,2304,58254,2397,56291,1651,68030,1980,33609,1435,21114,1504,798630,10407,68043,2493,"12,511",917,"77,018",2524,34227,1683,12669,981,22141,1189,102631,2795,120126,2618,91560,2773,78572,2496,81835,2123,48964,1673,48333,2466,8686391,18174,4267356,9354,240545,2530,46658,1808,309134,3280,164178,3197,54671,1622,111880,1809,347760,3108,598520,2806,562516,2500,600522,2155,559893,2100,425854,1705,245225,1723,4419035,10569,222537,2550,47329,1755,294642,3634,155831,3233,52733,1462,108612,1788,313386,3026,578559,2646,575451,2695,623463,2513,620723,2279,493412,1816,332357,2540
North Dakota,04000US38,"735,842",474,"77,491",2645,36426,1789,3520,440,552,148,3058,488,1502,297,419,117,779,159,8513,900,5002,526,2953,311,2846,387,3891,454,1716,248,1675,241,41065,1567,3032,385,476,144,"3,205",390,1286,226,503,199,1127,275,9606,828,6033,585,3739,548,2691,373,2978,336,2849,390,3540,329,658351,2731,339460,1928,23695,587,4727,476,26825,884,12984,725,3812,330,8124,474,29179,997,56224,625,44036,554,38610,599,43435,534,29795,315,18014,269,318891,1602,22217,512,4277,486,25139,833,12408,748,4157,355,7216,392,25417,820,46676,766,39075,741,36192,486,43372,447,29002,392,23743,397
Ohio,04000US39,"11,350,378",2174,"1,546,011",18637,685678,9758,76726,2429,14742,1234,86540,2558,37884,1981,12038,682,22785,1256,88528,2304,81704,2662,63819,2098,64353,1837,81546,1846,34495,1356,20518,866,860333,10666,71652,2255,"13,630",981,"81,227",2362,35087,1436,12075,874,22449,1143,115044,2870,135900,2877,94493,2388,83110,2089,92270,2233,53131,1870,50265,1754,9804367,19035,4857127,9716,270730,2631,52343,2023,344055,3697,188472,2952,63941,1692,130669,2065,390474,2658,670078,2825,611547,2384,654541,1991,684149,2092,496044,1425,300084,1218,4947240,11374,260320,2406,50195,1977,333808,3167,177448,3113,60727,1426,125511,1648,347172,2980,623001,2771,605125,2525,665569,2356,731352,2282,551791,2014,415221,2210
Oklahoma,04000US40,"3,833,712",1166,"585,520",8015,263585,4466,29827,1062,5796,461,33649,1368,15453,797,5040,451,9304,797,38859,1378,30565,1223,26097,1072,23486,994,25996,926,12042,796,7471,1059,321935,4674,30149,1183,"6,047",537,"33,030",1251,13397,714,4524,363,8321,636,44725,1341,50809,1543,37692,1684,28153,1054,32260,1073,17222,849,15606,794,3248192,8421,1621384,4918,99264,1203,20704,902,127518,1699,66152,1602,22832,844,43585,1013,137945,1559,234181,1362,211835,1150,200854,1214,207079,1131,153457,922,95978,1114,1626808,4709,93711,1325,19731,872,123731,1686,62818,1297,21447,660,42277,776,120858,1376,214673,1384,205418,1619,202960,1246,220084,1031,172076,927,127024,915
Oregon,04000US41,"4,096,744",1877,"506,558",10177,230958,5447,19129,1252,3813,551,21940,1544,9832,865,3288,448,7228,602,37760,1802,32612,1514,24522,1370,21753,995,27216,1233,14419,899,7446,585,275600,5916,17677,1119,"3,355",476,"22,119",1508,9070,802,3502,472,6396,597,43774,1629,44684,1824,31490,1474,25331,1191,31921,1544,19989,998,16292,1005,3590186,10257,1792830,5569,95214,1536,19522,1057,128116,2430,61991,1927,21573,946,42937,1025,135860,1746,262991,1701,252368,1537,231453,1219,231118,1228,195195,990,114492,794,1797356,6184,90646,1264,18153,950,119167,2296,61252,1958,20594,1070,41344,1190,120252,1649,246265,1888,244729,1496,229973,1307,248715,1580,213910,987,142356,1060
Pennsylvania,04000US42,"12,387,061",1951,"1,480,430",18271,653231,10375,63789,2431,13016,1016,76977,2667,35197,1620,11662,1064,21377,1233,92133,2954,76354,2339,59470,2175,62391,2011,76912,2409,38243,1302,25710,1169,827199,10224,62083,2089,"12,184",1013,"73,230",2088,32528,1805,10822,755,21548,1034,107999,2583,121813,2507,90718,2615,82212,1930,90602,2480,57337,2219,64123,1993,10906631,18596,5390071,10653,289289,2479,58316,1813,362636,3326,195694,3095,67134,1639,133914,1927,405977,3070,755272,2298,667375,2370,736385,2755,786935,2607,570419,1484,360725,1399,5516560,10511,274753,2212,54921,1794,353360,3283,183158,3251,65335,1686,127734,1741,367821,2461,705473,2559,658821,2581,751144,1977,834705,2544,634681,2236,504654,2069
Rhode Island,04000US44,"1,017,028",481,"117,785",4786,52293,2473,4563,639,747,225,5597,718,2223,336,772,237,1694,336,7633,980,6475,833,5278,636,5371,614,6180,769,3351,419,2409,369,65492,3161,4492,707,861,273,"5,909",864,2023,381,756,257,1992,374,8873,1057,9393,824,6463,678,7407,740,6658,587,5010,498,5655,613,899243,4731,443554,2456,23134,627,4911,536,27993,1123,15861,1000,4718,513,11432,591,36006,989,66877,838,55605,689,61742,677,64080,762,44333,477,26862,466,455689,3138,21471,816,4756,563,26128,1051,15052,968,4797,483,10277,578,33010,1173,62147,885,55580,715,63922,720,70473,660,49130,549,38946,656
South Carolina,04000US45,"4,950,181",1624,"726,470",11777,313618,6135,33052,1484,5537,620,41244,1767,19254,1415,6405,613,11188,827,38873,1815,32790,1864,27575,1499,29125,1470,38128,1781,19724,1115,10723,892,412852,7536,33491,1589,"5,869",668,"39,377",1778,19108,1750,5424,607,11112,934,51618,2031,62766,1920,44827,1869,38692,1631,45952,1864,30195,1595,24421,1048,4223711,11951,2068384,6477,112966,1426,22706,1550,150084,2878,75093,2335,24466,1075,53433,1316,167237,1897,284768,2116,262363,1859,275932,1502,276532,1810,231277,1347,131527,1028,2155327,7442,106710,1636,21199,1273,142670,2586,73966,2144,24169,1088,51423,1361,144852,2043,276145,1984,270635,2091,294513,1825,314223,1955,265407,1562,169415,1218
South Dakota,04000US46,"849,910",514,"108,863",3307,49372,1724,5657,545,1539,311,5170,463,2079,333,787,197,1630,269,8795,858,6431,542,4815,555,3702,446,4396,421,2629,442,1742,221,59491,2173,5106,476,"1,115",194,"5,655",536,2869,381,599,143,1646,247,9698,749,8233,808,5519,542,5100,527,5675,590,3474,389,4802,452,741047,3287,377700,1739,24056,637,5256,412,30948,808,15440,717,5008,309,9859,432,27896,905,52087,691,48037,639,44588,605,53099,481,39572,538,21854,357,363347,2332,23997,598,4844,512,28690,782,14859,835,4396,374,9604,392,25125,707,45892,852,44350,582,42599,541,52755,584,38763,458,27473,516
Tennessee,04000US47,"6,603,468",1764,"965,213",13412,425554,6966,49642,2029,9574,878,54161,2103,23896,1141,7149,678,14646,970,50842,1948,48800,1966,39781,1758,43073,1787,48807,2106,22101,1010,13082,865,539659,8005,46220,1637,"7,652",722,"51,794",2117,22097,1127,7501,723,13894,1048,65650,2301,84302,2203,61065,1948,52664,1752,61165,1823,33407,1248,32248,1451,5638255,13719,2781237,7371,154397,2168,29741,1358,199197,2919,105245,2842,35693,1360,73303,1312,229125,2200,398213,2377,363135,2022,380767,1789,367862,2115,281942,1289,162617,1076,2857018,8472,147933,1958,31497,1440,186378,3064,104318,2693,34101,1255,69821,1506,207241,2571,381373,2267,364222,2002,394623,2099,401599,2052,317551,1285,216361,1554
Texas,04000US48,"28,013,446",3263,"3,984,260",39546,1775491,17968,222313,4877,42443,2679,258726,6487,117922,3609,37584,1589,70177,2251,231391,3864,201407,4683,169024,5080,135757,2910,147220,3727,85394,2335,56133,1915,2208769,23947,208156,5303,"38,393",1697,"246,459",5383,111725,3279,37214,1705,71165,2140,298442,5089,325171,5727,262620,5265,185590,3535,188051,3723,126333,2868,109450,2814,24029186,40496,12032518,19173,785219,4957,154985,4496,997044,7798,516122,5885,170356,3163,345477,3983,1096000,4260,1861018,5373,1715444,5711,1576880,3648,1384060,3857,910820,2375,519093,2156,11996668,23680,755285,5404,148719,3877,959233,6858,501134,6673,166029,3217,331393,3383,977757,5293,1731752,6392,1667434,5500,1594143,3913,1459843,3932,1019666,3139,684280,3099
Utah,04000US49,"3,102,049",1254,"283,360",7183,129497,3876,14173,1032,2511,370,16884,1193,6588,721,2215,321,4442,478,28600,1447,18388,929,12011,905,8139,683,7711,582,4443,539,3392,421,153863,4337,13340,1065,"2,600",360,"16,228",1358,6029,544,1906,347,4130,497,34860,1471,23611,1390,16971,1037,10635,823,10009,745,6370,536,7174,576,2818689,7119,1428331,4049,112104,1145,22870,1334,145411,2027,72326,1612,24215,919,46843,1095,142924,1529,213794,1177,204590,1001,152726,912,137480,700,95532,552,57516,556,1390358,4528,106295,1103,21893,1149,138028,1779,67009,1669,23171,1096,44676,1120,130894,1474,202299,1370,194942,1038,149167,926,141409,875,102222,629,68353,730
Vermont,04000US50,"599,938",300,"64,700",2292,28999,1308,1970,334,468,169,2504,367,1029,194,570,166,674,176,5124,586,3334,343,2812,392,2984,392,3987,461,2310,354,1233,208,35701,1636,1767,272,458,167,"2,261",347,1066,222,279,92,929,193,6961,745,4472,432,3854,395,3532,439,4592,504,2771,351,2759,284,535238,2280,266990,1402,12840,367,2890,354,17302,618,8891,475,3276,276,6344,328,20673,695,33610,490,31844,471,36196,468,42433,490,32761,370,17930,276,268248,1664,11903,273,2098,282,16376,567,8479,496,2832,293,6264,327,16917,788,31899,513,31897,364,37623,534,44139,531,34931,358,22890,375
Virginia,04000US51,"8,255,575",1852,"826,708",14162,360440,7188,35247,1787,6194,615,42243,2008,19151,1148,6371,658,11814,831,57999,2036,41262,1840,31597,1566,32527,1654,40125,1465,22634,1219,13276,921,466268,8152,34342,2130,"6,627",562,"41,590",1903,18607,1243,7010,669,12441,937,69808,2128,68816,1998,54289,2195,43759,1789,48437,1749,30104,1316,30438,1344,7428867,14253,3667375,7083,221189,1923,42410,1612,271849,3009,141742,2681,47588,1471,94365,1646,286985,2287,530373,2553,503806,2087,507216,1771,482953,1670,335744,1268,201155,1249,3761492,8798,208838,2220,41958,1554,258414,2998,134808,2690,46299,1503,87434,1683,268325,2089,511255,2118,501122,2238,527023,1811,522138,1926,384555,1492,269323,1514
Washington,04000US53,"7,372,433",1681,"751,044",12849,341490,6866,31175,1877,5876,757,36319,1744,15518,1164,6205,692,9365,769,51730,1893,47323,2002,34886,1578,32280,1382,38566,1482,20693,1233,11554,922,409554,7381,28329,1568,"5,372",620,"35,016",1678,15190,1096,5312,587,10382,679,61276,1733,66461,2259,45601,1696,38770,1457,44608,1761,28252,1101,24985,1181,6621389,12949,3333248,7011,197499,1906,40494,1561,246889,2811,120224,2105,40487,1226,81060,1424,258598,2044,534427,2083,467226,1831,431265,1538,425498,1494,311859,1422,177722,1060,3288141,7543,188449,1731,37730,1763,234354,2885,117119,2262,38765,1103,78001,1198,231754,1874,483144,2366,446765,1745,424270,1589,442121,1733,340556,1248,225113,1327
West Virginia,04000US54,"1,755,591",906,"300,152",6818,133773,3602,11446,735,2205,357,14682,1035,6073,754,1988,423,3669,438,18587,1026,16722,1057,14317,947,14657,807,16682,973,8046,607,4699,476,166379,4077,12568,925,"2,467",410,"14,515",1054,5963,663,2142,349,4500,541,22401,1250,23618,961,19460,1150,17305,875,19883,1039,11000,816,10557,698,1455439,7208,729818,4009,36034,851,7081,630,47605,1362,24588,1096,8638,666,17820,781,54576,1093,88000,1284,90756,1180,99424,968,107476,1125,93024,785,54796,559,725621,4166,32726,965,6238,651,44903,1481,23531,1089,7688,556,16450,709,45680,1309,80539,1054,87402,1250,99029,996,112263,1156,99373,935,69799,795
Wisconsin,04000US55,"5,659,485",1207,"620,947",8262,277914,4563,26658,1184,5630,701,31271,1539,13344,786,4203,452,8577,491,52029,1977,31713,1327,22923,1049,23358,992,31242,1009,16341,1256,10625,665,343033,5030,26587,1309,"5,142",547,"29,564",1345,12891,804,4985,451,8288,562,61276,1755,48980,1629,34931,1279,27924,1039,35251,1108,23012,1432,24202,935,5038538,8201,2529042,4604,139852,1224,28848,1245,184424,2084,96410,1999,33064,833,67780,973,197727,1925,333285,1514,325411,1297,340859,1297,369526,1176,258795,1283,153061,851,2509496,5119,132124,1324,27311,1044,177355,2101,90887,1832,31346,911,64289,935,176403,1958,308679,1720,312987,1412,339839,1032,377670,1202,270112,1546,200494,1040
Wyoming,04000US56,"566,858",468,"61,006",3007,27714,1611,2947,490,565,215,3077,431,1074,258,335,100,693,215,5412,548,3619,520,2045,316,1889,342,3214,429,1958,314,886,209,33292,1710,2377,364,658,195,"2,471",420,921,245,277,100,780,207,7083,692,4933,484,3173,440,2776,400,3225,423,2390,299,2228,282,505852,3035,260066,1769,14850,579,3050,411,20393,900,10604,750,3047,377,7135,463,19723,689,36480,749,34825,533,31608,617,35979,578,27347,370,15025,235,245786,1796,14470,434,2769,335,20322,779,9799,647,3263,389,5966,387,16108,713,32044,663,32215,602,29444,493,36120,426,26271,395,16995,353