geoid,name,B19001001,"B19001001, Error",B19001002,"B19001002, Error",B19001003,"B19001003, Error",B19001004,"B19001004, Error",B19001005,"B19001005, Error",B19001006,"B19001006, Error",B19001007,"B19001007, Error",B19001008,"B19001008, Error",B19001009,"B19001009, Error",B19001010,"B19001010, Error",B19001011,"B19001011, Error",B19001012,"B19001012, Error",B19001013,"B19001013, Error",B19001014,"B19001014, Error",B19001015,"B19001015, Error",B19001016,"B19001016, Error",B19001017,"B19001017, Error"
04000US01,Alabama,1888504,5749,153635,2979,105415,2397,106327,2522,100073,2674,100569,3023,96815,2745,87120,2491,86181,2124,75721,2512,148045,2945,182282,3324,222963,3922,153722,3182,94196,2533,91821,2370,83619,2263
04000US02,Alaska,255173,1326,9818,613,7476,651,8007,633,7832,454,8008,686,9148,661,8506,826,8947,603,8352,689,17874,905,28733,1120,36114,1353,28918,1084,20298,1076,24610,1024,22532,1054
04000US04,Arizona,2643430,6290,157193,3123,98275,2900,107227,2505,120121,3313,116787,2892,121673,2977,118693,3036,122662,2789,110256,3078,216583,4161,276281,4608,349684,4811,240058,4082,157580,3260,161192,3250,169165,2928
04000US05,Arkansas,1170544,4411,87109,2164,66021,1839,67790,2111,71501,2367,65130,1861,67305,1705,58828,2105,56923,1918,49654,1609,97150,2794,117950,2211,135461,2790,86222,2624,50496,1684,46660,1773,46344,1806
04000US06,California,13103114,18542,614887,6699,507398,5286,435382,5251,474093,4805,454373,5495,475343,5555,440094,5622,461954,5914,414016,4955,844842,6903,1162681,7919,1616338,9649,1295090,9124,940024,8511,1227224,8960,1739375,11874
04000US08,Colorado,2137402,4703,96924,2326,65782,2179,67594,2027,73827,2134,72607,1873,82052,2196,79193,2399,80495,2244,75425,2223,156526,3087,214966,3872,290253,3816,229671,4007,158981,3010,186878,3613,206228,3125
04000US09,Connecticut,1385437,3268,68078,2433,47492,2013,45210,1694,49223,1488,46249,1885,48658,1871,45978,1754,49293,1797,43114,1622,91379,2588,122642,2945,169430,2954,139302,2664,103959,2507,132437,2411,182993,2841
04000US10,Delaware,370953,1823,19160,1225,13010,890,11174,820,14236,1027,15852,1144,17138,1339,14467,851,14832,968,14128,798,27470,1066,38373,1743,51437,1743,37035,1660,25900,1368,28648,989,28093,1325
04000US11,District of Columbia,288307,1319,24083,1442,11315,809,8300,842,7315,621,7940,805,8057,854,6784,675,7224,682,6890,937,14865,1128,20923,1237,30691,1575,27242,1585,19935,1058,29680,1556,57063,1546
04000US12,Florida,7931313,23200,494959,6755,329848,4816,354967,5030,382253,5496,388231,5611,399794,6664,373269,5793,383600,5885,337914,5224,651215,7260,802499,7910,990657,9369,671918,7973,416623,6278,443475,6872,510091,6457
04000US13,Georgia,3830264,8096,251018,4726,160845,3209,169058,3420,175354,4074,179132,3443,175847,4226,162103,3016,167228,3865,148924,3338,289616,4426,383783,5099,486119,5956,343766,5734,225337,4788,241942,4286,270192,4267
04000US15,Hawaii,467932,1883,22748,1092,12622,773,11638,670,13872,905,13561,947,15831,847,14391,790,16851,1018,14321,845,29597,1134,45613,1596,64223,1550,52742,1649,38327,1457,48926,1203,52669,1519
04000US16,Idaho,649299,2233,32425,1374,25981,1170,28203,1288,31293,1577,29437,1358,33402,1600,30233,1462,32445,1497,28275,1622,58977,1947,76701,2164,84774,2350,60414,2035,33665,1627,32234,1620,30840,1569
04000US17,Illinois,4884061,8585,298656,4190,179484,3266,189258,2666,207124,3909,192168,3266,202485,3170,182950,3002,197028,3642,169002,3059,348097,4832,467576,5113,627786,5803,480713,5118,329536,4385,380160,4720,432038,4633
04000US18,Indiana,2602770,6793,153094,3322,107633,2897,119508,2881,126718,2992,123239,2646,133389,2734,119928,2804,124414,2525,108463,2526,218540,3410,282397,4042,350910,4388,237551,3696,143842,3100,135082,2895,118062,2611
04000US19,Iowa,1273941,4037,64607,1652,51206,1591,54357,1653,55786,1772,57720,1458,60623,1756,54529,1494,59607,1558,52948,1550,106446,2114,137193,2709,182007,2728,126108,2275,76587,1784,70804,1774,63413,1690
04000US20,Kansas,1141985,4096,60553,1674,45372,1546,49094,1905,50811,1806,51863,1786,57404,1756,51933,1614,55649,1829,46677,1422,90935,2058,122923,2353,153943,2418,105360,1956,66875,1814,67637,1635,64956,1691
04000US21,Kentucky,1748053,5379,142210,2989,95952,1907,90786,2067,91372,2446,91319,2226,90912,1785,80886,2100,81763,2002,72800,1943,139738,2672,174062,3265,216004,3378,142961,3124,84763,2020,79127,2290,73398,1867
04000US22,Louisiana,1751956,5502,155441,3252,96888,2422,99022,3013,114060,3591,94619,2902,84128,1945,74276,2435,75120,2367,69140,2561,133413,3581,151853,3709,199702,4450,138850,3403,88853,3024,93472,2664,83119,2516
04000US23,Maine,569551,2285,30114,1180,27909,1288,27246,1112,27820,1417,25798,1245,27314,1416,25938,1041,25383,1154,23242,1126,46102,1666,58994,1580,78697,1746,52560,1622,32998,1153,31530,1066,27906,1046
04000US24,Maryland,2230527,4131,103685,2850,57440,1899,62419,1872,61900,1842,65428,1746,71654,2255,67551,2209,72240,2188,67331,1862,141003,2894,197122,4041,290610,3804,245970,3120,184979,3326,241284,3442,299911,3598
04000US25,Massachusetts,2646980,4188,132385,2964,107856,2711,91647,2520,88298,2404,81232,2114,87520,2448,79608,2195,82466,2167,76947,2153,153516,3241,215212,3132,316659,3999,268235,3499,207151,3499,279582,4535,378666,4605
04000US26,Michigan,3980408,8401,254424,4371,164841,2699,173968,2902,191008,3270,186517,3019,197084,3207,179593,3152,183781,2961,164047,2836,316226,3804,407333,4341,515271,4244,353084,4253,229265,3732,236748,3681,227218,3396
04000US27,Minnesota,2207988,5616,91125,2099,76090,1768,73574,1739,80952,2092,78776,1856,85863,1973,83437,1880,88520,2203,82960,1748,162953,2760,221689,2608,310848,3005,238852,3159,165305,3156,180414,2930,186630,2779
04000US28,Mississippi,1116649,4463,104924,2538,74879,2133,72148,2418,65578,2015,61701,2163,60789,2157,49176,1727,54064,1779,47898,2014,85560,2214,103877,2798,127828,2975,79785,2233,45432,1776,45303,1762,37707,1760
04000US29,Missouri,2440212,6698,147673,3343,108642,2545,113735,2728,120844,2751,118135,2962,125816,2759,115100,2545,116061,2616,103487,2494,200301,3250,251035,3325,318133,4620,213353,3005,133447,2448,128665,2490,125785,2649
04000US30,Montana,436048,1975,24960,1219,21216,958,19470,1089,22485,1172,22805,1240,22880,1063,19491,954,20841,1115,18639,1023,37135,1279,46418,1554,55819,1556,37934,1242,22246,1018,23379,984,20330,1105
04000US31,Nebraska,766663,2410,38358,1300,28791,1131,30324,996,32709,1203,33429,1256,37081,1272,33981,1437,34541,1150,33307,1170,62917,1835,84668,1676,108323,1989,75720,1722,46013,1337,46641,1379,39860,1153
04000US32,Nevada,1130011,2777,66304,1893,39423,1483,45135,1645,50576,1866,49072,1925,54014,1948,50293,1891,52296,1457,47851,1794,91196,2454,117934,2633,155150,2917,108948,2863,65320,2061,69852,1864,66647,1982
04000US33,New Hampshire,539116,1981,19786,949,16073,1148,17777,1064,18254,988,19434,1210,21082,1144,17801,989,19673,1361,17308,984,38307,1423,53739,1967,76059,1942,60640,1841,41400,1531,49523,1505,52260,1326
04000US34,New Jersey,3272054,6029,154067,3434,100910,2778,105337,2177,113786,2893,105225,2430,111896,2692,100528,3110,102482,2694,92714,2675,199515,3838,273508,4047,401811,4681,332973,4556,250856,4210,341209,4500,485237,5386
04000US35,New Mexico,792755,2457,66887,2314,45200,2037,43451,2052,45203,1900,40993,1921,40933,1835,36132,1541,35824,1554,32670,1755,63774,2131,77044,2547,92575,2309,63767,2022,37870,1642,37601,1499,32831,1277
04000US36,New York,7417224,12559,471680,6161,340614,4703,303901,4201,298025,4467,276764,4315,283648,4175,257624,3993,270607,4137,242385,4315,480086,5201,637950,5686,887731,7657,690906,6471,498076,5394,623359,5415,853868,7194
04000US37,North Carolina,4031592,8480,250593,4703,195066,3475,192544,3693,198104,3925,200149,3445,203150,3636,191904,4047,190825,3314,167543,3595,322695,4143,402364,4473,507194,6486,344491,4533,208450,3492,216293,3754,240227,3856
04000US38,North Dakota,320873,1737,18120,846,12664,795,12611,874,13116,809,13261,836,13785,726,12256,905,13219,937,12476,909,26597,1045,33351,1108,45303,1403,32692,1249,21841,1032,20323,961,19258,1127
04000US39,Ohio,4717226,9371,312285,4328,205843,3504,216934,3628,232357,4001,220456,3609,230470,3637,212845,3459,218741,3635,193775,2936,377871,4711,490056,5138,615531,6279,416244,4696,263705,4030,264032,4492,246081,3669
04000US40,Oklahoma,1493569,3009,99449,2499,70502,1408,71872,1483,87859,2587,79049,2327,75372,1966,71888,1726,71323,2212,66735,2030,120926,2368,155864,2771,186190,3125,124315,2420,74087,1830,71501,2196,66637,1574
04000US41,Oregon,1642579,3451,88320,2485,62190,2230,64285,2073,69542,1980,69878,2057,72257,2242,68877,2381,67335,1970,63741,2239,127297,2723,170588,3336,218325,3653,161435,3247,105256,2660,114652,2319,118601,2840
04000US42,Pennsylvania,5106601,8064,296733,3893,206216,3771,223380,3598,227639,3324,226678,3849,231190,3219,210468,3738,214098,3455,193504,3748,389971,4340,506258,5577,674070,6121,484045,4624,316906,4360,341400,4521,364045,4699
04000US44,Rhode Island,414730,1881,23068,1488,20361,1204,17192,1024,16221,1174,15760,1003,16461,1033,15193,1129,16564,1191,12902,950,26967,1520,38606,1554,55280,2004,44381,1575,31508,1443,32357,1375,31909,1180
04000US45,South Carolina,1961481,5748,144667,3397,93868,2582,94132,2606,100766,2877,96984,2314,102249,2604,91978,3075,89463,2709,83622,2791,157235,3097,199579,3444,242320,4419,162804,3303,99791,2568,102323,2666,99700,2272
04000US46,South Dakota,347878,1737,18482,856,14295,836,14269,786,15825,1050,15542,917,19137,1051,15536,830,16787,952,15087,962,29263,1266,37325,1323,50831,1424,33030,1254,19415,1022,17582,769,15472,844
04000US47,Tennessee,2639455,6788,175988,3380,130396,2901,132977,2843,131607,3003,129940,2927,138602,2944,125943,2777,128533,2761,112597,2444,215511,3411,271257,3713,328793,4316,220989,3580,130807,2896,130018,2878,135497,2927
04000US48,Texas,9906070,18881,591845,7147,387297,5999,398380,5387,433431,5661,433900,5757,447017,6076,411783,5460,427581,6407,378370,5425,766991,6960,973610,8688,1242248,11333,922122,9253,624055,6481,692907,8678,774533,7844
04000US49,Utah,1003345,2384,36211,1536,27395,1378,28460,1507,32497,1542,36116,1628,36578,1365,36663,1724,42449,1806,38972,1522,77693,2260,114434,2827,154963,2976,115843,2272,77194,1924,77824,2098,70053,1851
04000US50,Vermont,262852,1220,11930,874,12907,703,11106,892,11582,733,11840,644,11548,585,11152,736,10940,640,10291,604,20731,843,27349,1198,36571,1105,25770,1061,17209,823,16114,807,15812,742
04000US51,Virginia,3184121,7450,151739,3019,103516,2625,105446,2984,116388,2791,111000,2862,116036,2857,112945,2390,116509,2593,113165,2709,222657,3388,296020,4167,411580,5167,319742,4769,228952,3509,287495,4060,370931,4288
04000US53,Washington,2905822,5585,128995,3066,89342,2703,89034,2244,98392,2710,96810,2321,102470,2425,102798,2933,109838,2803,102104,3014,211704,3639,285046,4009,394352,4690,308233,4380,220953,3812,259273,3401,306478,4023
04000US54,West Virginia,734235,2810,62341,2318,43003,1497,45613,1648,44635,1684,40805,1550,38618,1522,36587,1588,36099,1417,31345,1459,59462,1817,71705,2225,84975,1962,54432,1914,32924,1354,28689,1248,23002,974
04000US55,Wisconsin,2377935,5709,109952,2178,98635,1949,99312,2402,105976,2710,103903,2194,110276,2425,101518,1847,107414,2481,99181,2209,190859,2555,258520,3912,335854,3823,239423,2879,148589,2822,143889,2272,124634,2092
04000US56,Wyoming,233231,1535,12063,772,8702,709,9643,753,9237,671,11085,807,9421,727,9426,790,9721,834,9558,726,18561,1122,24003,1066,34853,1320,24889,1138,15911,949,14383,889,11775,848